Year,Company,Energy_Consumption_kWh,Carbon_Emissions_tCO2,Water_Usage_KL,Waste_Generated_kg,Female_Employees_Percent,Board_Independence_Percent,CSR_Spend_INR,Employee_Count,Loan_Portfolio_Value_INR,ESG_Compliance_Score,Environmental_Score,Social_Score,Governance_Score,Total_ESG_Score,ESG_Risk_Category
2022,EcoLend Capital,39215,1500.78,4660,880,47.9,40.1,2682678,1192,824792917,86.78,0.033855589,31.422678,40.1,21.47034564,High Risk
2022,NextGen Lending,20858,249.99,405,1081,15.33,74.28,4369862,1843,614722720,39.72,0.235518771,13.567862,74.28,26.44856611,High Risk
2023,SustainFin Services,43468,1926.46,2109,1976,38.06,77.11,1208230,917,302614793,81.98,0.035678387,24.04423,77.11,30.36054035,High Risk
2022,SustainFin Services,41111,1900.06,1180,1871,24.76,41.35,1445041,1559,473238607,86.04,0.047205427,16.301041,41.35,17.31419447,High Risk
2023,UrbanGrowth NBFC,22077,1452.24,1458,1597,50.22,71.22,1131212,1894,309513041,85.61,0.049478669,31.263212,71.22,30.76475507,High Risk
2025,NextGen Lending,15257,1083.13,4402,837,43.06,53.23,4794019,1954,502873130,86.95,0.045711403,30.630019,53.23,25.17629026,High Risk
2025,SustainFin Services,49560,576.17,2844,1777,40.95,71.41,4768519,670,96643141,91.94,0.080577805,29.338519,71.41,30.25678682,High Risk
2024,GreenCredit NBFC,8665,1537.07,1959,974,51.18,53.25,1016850,312,62407098,61.15,0.044799678,31.72485,53.25,25.51037487,High Risk
2024,Indifi Finance,40442,1767.93,3685,1449,26.83,44.8,4260568,98,345876029,47.7,0.031508246,20.358568,44.8,19.5601737,High Risk
2024,EcoLend Capital,48358,1363.86,239,232,19.31,48.91,4705787,216,250590322,76.4,0.155471909,16.291787,48.91,19.62272486,High Risk
2022,Bharat MicroFinance,21734,1295.24,3876,1341,27.21,85.89,2840323,1204,511663722,45.91,0.040002571,19.166323,85.89,31.53289793,High Risk
2025,EcoLend Capital,13840,466.71,4168,133,22.34,61.96,3736549,997,299165254,63.07,0.095071654,17.140549,61.96,23.76819336,High Risk
2023,GreenCredit NBFC,17062,779.81,3745,583,25.11,85.82,103623,1895,807060709,67.88,0.06106352,15.169623,85.82,30.32131231,High Risk
2024,Bharat MicroFinance,12044,1473.96,4136,1823,37.65,64.2,1611499,1725,282445692,76.28,0.03688203,24.201499,64.2,26.53520251,High Risk
2023,Indifi Finance,7063,132.11,3259,968,33.21,84.92,3236796,1337,575197513,79.16,0.316230753,23.162796,84.92,32.5513311,High Risk
2023,Indifi Finance,27313,1318.4,2553,225,54.24,68.38,2638314,1277,159490408,94.88,0.043189065,35.182314,68.38,31.08596983,High Risk
2024,GreenCredit NBFC,32087,1556.67,1969,350,31.74,57.55,274837,633,711927203,89.55,0.041866995,19.318837,57.55,23.0773979,High Risk
2025,FutureTrust Finance,45181,735.94,2290,1099,21.07,51.11,3115020,1891,380035436,47.56,0.06811669,15.75702,51.11,20.08735268,High Risk
2024,FutureTrust Finance,23205,244.72,1207,1182,50,58.56,1982486,1340,619803194,89.07,0.189599946,31.982486,58.56,27.23858578,High Risk
2023,Indifi Finance,17464,1656.33,4227,1440,26.05,48.85,1003618,735,251357065,89.59,0.032964829,16.633618,48.85,19.65827133,High Risk
2024,FutureTrust Finance,48550,369.49,4188,156,19.31,89.07,3734992,1422,729572215,91.66,0.116038571,15.320992,89.07,31.36371303,High Risk
2023,FutureTrust Finance,32132,804.52,2824,845,41.35,57.43,1353017,1011,150331535,75.62,0.061275965,26.163017,57.43,25.10241549,High Risk
2023,FutureTrust Finance,47638,1443.78,1817,488,25.25,67.85,2369146,211,107934244,68.74,0.044845533,17.519146,67.85,25.62868201,High Risk
2024,Indifi Finance,42427,1652.27,348,793,15.64,89.83,2352813,1421,386572786,54.59,0.111123112,11.736813,89.83,30.51449314,High Risk
2022,Bharat MicroFinance,40048,1738.53,2318,1658,41.55,65.95,194912,1259,63420585,55.28,0.036699236,25.124912,65.95,27.33715329,High Risk
2024,FutureTrust Finance,8749,1107.79,2568,1270,17.9,55.53,1966673,1800,821716945,70.23,0.051219133,12.706673,55.53,20.49148955,High Risk
2022,Bharat MicroFinance,40306,1004.16,4062,51,15.09,70.7,3015875,787,276678091,81.47,0.04796412,12.069875,70.7,24.85014815,High Risk
2023,EcoLend Capital,30592,1711.8,2691,667,42.29,80.86,2566693,557,401833966,49.1,0.035496136,27.940693,80.86,32.65440635,High Risk
2023,UrbanGrowth NBFC,23451,1169.85,2121,589,33.13,70.82,306579,509,238311830,67.18,0.049615953,20.184579,70.82,27.32122008,High Risk
2022,Indifi Finance,33258,1199.44,3014,382,47.18,51.02,3799020,783,692079032,60.09,0.044204485,32.10702,51.02,24.95578779,High Risk
2023,GreenCredit NBFC,49758,924.55,2007,1536,21.57,49.62,1040330,1314,855829301,66.86,0.058814892,13.98233,49.62,19.10422496,High Risk
2022,FutureTrust Finance,40302,808.35,657,230,35.43,75.86,4114275,1222,44455164,67.54,0.095889996,25.372275,75.86,30.4080385,High Risk
2022,SustainFin Services,37856,1013.03,2075,703,19.64,82.44,130820,1851,251373873,88.26,0.054735812,11.91482,82.44,28.32834032,High Risk
2023,Indifi Finance,26621,793.21,887,668,31.39,74.96,1702847,1339,274256117,34.14,0.085376809,20.536847,74.96,28.68320482,High Risk
2025,NextGen Lending,11577,752.74,1419,223,29.25,44.66,1530707,911,366720146,67.73,0.076872192,19.080707,44.66,19.15296098,High Risk
2022,GreenCredit NBFC,24694,1987.96,4387,1816,40.53,56.11,849333,1974,214333435,83.3,0.028174385,25.167333,56.11,24.39446965,High Risk
2024,UrbanGrowth NBFC,13263,738.81,2486,430,39.94,74.28,438271,1098,464416217,68.21,0.068470629,24.402271,74.28,29.63206955,High Risk
2024,EcoLend Capital,22205,587.13,1294,383,25.33,75.55,454000,988,292443544,57.43,0.092662985,15.652,75.55,27.39766519,High Risk
2023,Bharat MicroFinance,13072,772.46,3746,372,17.03,63.21,4600133,1498,317658523,49.08,0.062086141,14.818133,63.21,23.43327436,High Risk
2025,Bharat MicroFinance,48876,1222.48,3818,550,19.19,54.9,296025,586,281855770,93.54,0.041191687,11.810025,54.9,20.02948417,High Risk
2023,NextGen Lending,45130,1830.88,3166,1559,51.52,44.61,4639094,932,872535406,39.24,0.031987843,35.551094,44.61,24.06112334,High Risk
2025,GreenCredit NBFC,48002,1596.94,4951,1271,44.06,42.65,3699444,821,439813634,50.97,0.03173226,30.135444,42.65,21.8483261,High Risk
2022,FutureTrust Finance,10691,1700.26,4603,1989,52.7,45.71,2252602,1417,809608251,55.1,0.032849401,33.872602,45.71,23.88792036,High Risk
2022,SustainFin Services,27113,1732.12,2914,596,39.71,56.87,1928613,1854,80111654,60.31,0.034494695,25.754613,56.87,24.80118178,High Risk
2022,FutureTrust Finance,6953,1849,3973,993,50.17,70.5,382123,264,826228534,65.26,0.033498969,30.484123,70.5,30.30863649,High Risk
2022,GreenCredit NBFC,9963,546.64,973,988,45.91,82.41,486633,1794,13821997,81.64,0.107017919,28.032633,82.41,33.17559707,High Risk
2024,Indifi Finance,43754,970.9,1326,325,24.79,52.54,1754738,1759,377000122,80.47,0.064508974,16.628738,52.54,20.77642499,High Risk
2024,NextGen Lending,45520,831.88,4575,1698,44.99,43.78,2013533,624,693252780,37.94,0.055300286,29.007533,43.78,21.85838001,High Risk
2023,SustainFin Services,32869,825.57,3002,105,39.38,88.29,2140331,783,72470770,73.09,0.059357425,25.768331,88.29,34.24124227,High Risk
2025,Bharat MicroFinance,16445,1339.34,2846,1181,21.79,70.84,2458632,1525,221294179,87.72,0.042230829,15.532632,70.84,25.92868193,High Risk
2022,NextGen Lending,42759,863.43,2958,52,18.76,47.11,3737556,212,796022202,32.81,0.057170454,14.993556,47.11,18.65393498,High Risk
2022,NextGen Lending,25185,1271.03,4900,885,29.67,52.53,327594,1670,829256343,74.6,0.038784174,18.129594,52.53,21.21339187,High Risk
2025,SustainFin Services,13447,826.33,1404,1980,38.43,60.93,2443600,1835,704198310,59.54,0.072005313,25.5016,60.93,25.95828213,High Risk
2025,Bharat MicroFinance,39699,691.14,2282,111,37.27,88.37,3485595,1524,301526530,60.99,0.071777444,25.847595,88.37,34.29398948,High Risk
2023,Bharat MicroFinance,38640,770.85,1729,1946,34.25,45.86,4847906,816,244812291,94.39,0.070018237,25.397906,45.86,21.40537909,High Risk
2025,GreenCredit NBFC,12954,1627.14,809,1646,34.15,61.36,3999736,1093,355004782,36.32,0.063981716,24.489736,61.36,25.78051349,High Risk
2022,UrbanGrowth NBFC,22945,1242,3930,1552,15.66,61.86,2667830,1703,676721386,34.37,0.041147181,12.06383,61.86,22.19360787,High Risk
2022,UrbanGrowth NBFC,43294,1950.6,4773,1771,15.86,89.61,3077975,479,661126352,88.47,0.027484803,12.593975,89.61,30.67218642,High Risk
2022,FutureTrust Finance,17920,1682.05,1946,938,31.31,49.64,1430880,1279,834468276,60.91,0.040870852,20.21688,49.64,20.97341234,High Risk
2022,GreenCredit NBFC,34984,1022.98,665,1102,35.61,63.42,3248099,616,424230768,50.05,0.085071766,24.614099,63.42,26.44425841,High Risk
2022,SustainFin Services,10560,560.52,2632,471,42.02,89.34,3558512,368,238809658,68.42,0.085601392,28.770512,89.34,35.46739416,High Risk
2023,GreenCredit NBFC,20389,1380.43,3393,1413,41.61,72.85,1365672,1066,567558856,54.28,0.039289593,26.331672,72.85,29.77021744,High Risk
2022,SustainFin Services,29265,1480.63,1532,1584,54.4,48.25,2228353,431,276870153,62.2,0.047622888,34.868353,48.25,24.95455506,High Risk
2023,NextGen Lending,46853,981.93,1349,1836,30.67,86.8,2330619,1320,444260452,65.84,0.063615097,20.732619,86.8,32.28523174,High Risk
2022,FutureTrust Finance,12715,536.85,3776,1929,20.07,67.14,3421557,1219,860786139,75.07,0.084813041,15.463557,67.14,24.81499232,High Risk
2024,Indifi Finance,24068,1158.75,3975,1672,27.04,80.7,4670231,594,794824998,42.72,0.043313595,20.894231,80.7,30.49559474,High Risk
2024,NextGen Lending,14438,582.28,2159,1863,45.66,80.3,725391,1135,603592905,81.74,0.084668645,28.121391,80.3,32.56028476,High Risk
2024,Bharat MicroFinance,10243,1886,3326,1543,24.75,67.63,1266433,1834,837473316,85.16,0.033157581,16.116433,67.63,25.13719293,High Risk
2024,Indifi Finance,33629,1294.88,2621,1882,47.7,80.81,2174356,1841,195824821,41.11,0.043228994,30.794356,80.81,33.4985984,High Risk
2023,GreenCredit NBFC,44594,654.67,3794,261,47.24,84.24,4118890,1859,698781655,61.94,0.069679443,32.46289,84.24,35.03873878,High Risk
2023,SustainFin Services,9085,509.89,439,159,33.77,80.63,2866534,1357,249118935,51.24,0.150087569,23.128534,80.63,31.18759523,High Risk
2025,Indifi Finance,43885,1461.77,1019,880,44.2,71.55,1394204,696,693079279,44.64,0.057488319,27.914204,71.55,29.86225653,High Risk
2022,NextGen Lending,22390,1444.81,3495,686,47.05,69.38,2819098,1173,436126120,50.89,0.037608876,31.049098,69.38,30.14377295,High Risk
2024,SustainFin Services,29513,1234.55,2785,471,44.05,63.17,3758954,220,352228842,76.04,0.044188964,30.188954,63.17,28.02536179,High Risk
2023,FutureTrust Finance,25694,1267.17,247,1441,27.51,44.05,3372194,725,809960524,93.75,0.154191482,19.878194,44.05,19.24013479,High Risk
2022,NextGen Lending,46850,1247.35,1012,1763,21.8,63.88,2547331,1893,31846751,86.94,0.062352594,15.627331,63.88,23.87714034,High Risk
2022,Bharat MicroFinance,48451,784.2,4782,1434,19.77,71.47,2594033,1749,582211942,33.12,0.057900104,14.456033,71.47,25.80096994,High Risk
2023,GreenCredit NBFC,19884,1881.09,3207,440,53.54,62.62,1939261,1834,805108494,37.13,0.032127555,34.063261,62.62,29.01782932,High Risk
2024,SustainFin Services,7876,1010.63,1813,1993,18.78,60.93,4747215,1435,415912801,56.61,0.059935472,16.015215,60.93,23.10753869,High Risk
2025,GreenCredit NBFC,31207,138.62,1682,1072,32.63,51.81,1066106,1478,74870332,89.82,0.307355882,20.644106,51.81,21.85917415,High Risk
2022,SustainFin Services,10556,761.89,234,1315,19.07,58.3,2274996,295,110062791,32.07,0.183548131,13.716996,58.3,21.67851805,High Risk
2025,NextGen Lending,25491,347.54,1799,1437,46.79,50.2,4269151,1073,815675430,59.58,0.132947482,32.343151,50.2,24.81612429,High Risk
2024,UrbanGrowth NBFC,43009,790.43,3112,1174,37.13,43.9,182410,883,816301683,94.8,0.060942998,22.46041,43.9,19.9325002,High Risk
2024,UrbanGrowth NBFC,37225,1255.7,1744,1503,22.03,76.21,3296553,1370,593195585,52.01,0.049862487,16.514553,76.21,27.83731089,High Risk
2025,SustainFin Services,43437,143.06,3968,1482,53.39,74.99,2583736,870,408480082,91.23,0.287854103,34.617736,74.99,32.99746244,High Risk
2024,FutureTrust Finance,10399,1753.38,4840,511,48.93,65.87,942770,1363,462348622,83.99,0.031896321,30.30077,65.87,28.86398953,High Risk
2022,GreenCredit NBFC,46701,1259.59,1104,1328,20.08,43.95,839020,1397,247938570,31.09,0.059572663,12.88702,43.95,17.07493507,High Risk
2025,Bharat MicroFinance,18648,661.21,1789,846,47.53,70.82,1878932,1081,413554727,46.2,0.078873049,30.396932,70.82,30.39662882,High Risk
2024,EcoLend Capital,35887,691.29,3540,884,48.78,53.95,3752164,1561,80473876,42.01,0.06717337,33.020164,53.95,26.11791855,High Risk
2025,SustainFin Services,47936,984.77,351,408,45.87,87.46,359843,976,379369670,53.69,0.126714542,27.881843,87.46,34.65323872,High Risk
2022,SustainFin Services,45263,571.37,259,270,29.05,42.42,1720717,1667,599014621,87.83,0.186500085,19.150717,42.42,18.54581513,High Risk
2024,UrbanGrowth NBFC,26804,108.25,2526,385,25.26,40.15,916355,748,286614556,34.88,0.382510732,16.072355,40.15,17.01971079,High Risk
2022,Indifi Finance,35919,150.46,3938,1542,36,81.63,1248913,1668,562585993,41.81,0.274304682,22.848913,81.63,31.45339577,High Risk
2024,NextGen Lending,33147,779.71,3891,1223,33.97,51.6,1356523,1548,664171424,33.62,0.059916284,21.738523,51.6,22.02552341,High Risk
2023,UrbanGrowth NBFC,24295,336.02,4612,902,38.35,73.5,1739568,1954,82496529,90.42,0.126780125,24.749568,73.5,29.52558245,High Risk
2024,GreenCredit NBFC,11897,142.49,3571,1159,31.72,57.45,422917,646,20158190,38.05,0.291644106,19.454917,57.45,23.18813274,High Risk
2025,UrbanGrowth NBFC,16276,1732.61,3169,1210,23.43,81.17,3903662,395,437688407,75.99,0.034396471,17.961662,81.17,29.75325719,High Risk
2024,EcoLend Capital,43253,620.86,2207,392,37.81,82.68,3601871,966,458391454,55.91,0.078713469,26.287871,82.68,32.72184669,High Risk
2022,FutureTrust Finance,10838,1055.93,1335,945,36.5,87.09,4089709,417,396851377,71.75,0.063121247,25.989709,87.09,33.9491612,High Risk
2022,NextGen Lending,22157,440.88,4236,762,51.34,59.26,1170271,1845,692328317,58.95,0.099163763,31.974271,59.26,27.40994681,High Risk
2024,EcoLend Capital,7144,188.78,3167,931,40.41,40.3,3958466,826,402294381,35.85,0.225558868,28.204466,40.3,20.64156335,High Risk
2025,FutureTrust Finance,19406,1515.25,4240,1055,45.78,47.21,2467054,489,99759173,34.42,0.035019669,29.935054,47.21,23.15752407,High Risk
2023,EcoLend Capital,46952,337.42,2754,529,32.09,55.4,2536816,1003,826177364,49.87,0.130078815,21.790816,55.4,23.20927633,High Risk
2025,Bharat MicroFinance,31414,148.86,3268,1365,47.9,80.41,3627307,1909,357281059,35.71,0.278843769,32.367307,80.41,33.94472961,High Risk
2023,NextGen Lending,43748,1215.74,4006,1312,27.39,85.52,824046,752,90414726,69.64,0.041076284,17.258046,85.52,30.84984431,High Risk
2022,UrbanGrowth NBFC,34483,125.59,1916,1334,54.12,50.51,2540889,1115,102102328,32.33,0.33502431,35.012889,50.51,25.79087642,High Risk
2025,EcoLend Capital,16513,928.94,1687,267,47.63,59.52,1676108,152,116656260,52.28,0.062659629,30.254108,59.52,26.95729625,High Risk
2023,UrbanGrowth NBFC,49802,648.79,938,53,15.17,68.31,3018376,596,708733985,71.56,0.094238559,12.120376,68.31,24.16680822,High Risk
2024,NextGen Lending,31451,706.89,4521,585,47.72,53.85,4402946,1895,685262970,56.98,0.064175455,33.034946,53.85,26.09115398,High Risk
2022,UrbanGrowth NBFC,45909,107.41,2640,412,36.52,57.15,398649,1345,710604183,50.72,0.384421907,22.310649,57.15,23.99196346,High Risk
2024,GreenCredit NBFC,45963,1932.26,1028,1855,38.2,79.34,3852064,1154,676228365,60.11,0.050536726,26.772064,79.34,31.85383389,High Risk
2022,UrbanGrowth NBFC,27672,1082.23,287,780,54.93,48.44,3073956,1528,70353596,52.14,0.142574465,36.031956,48.44,25.39861659,High Risk
2025,Indifi Finance,46124,1187.77,2346,1597,43.7,66.95,721185,1396,264327342,83.46,0.047114698,26.941185,66.95,28.18620138,High Risk
2025,EcoLend Capital,17631,1365.63,3805,1667,20.21,69.06,614713,853,160767101,34.08,0.038876422,12.740713,69.06,24.55576447,High Risk
2022,NextGen Lending,39665,1615.29,2733,861,45.16,47.09,4664233,597,404151324,62.14,0.036496638,31.760233,47.09,23.66966856,High Risk
2022,SustainFin Services,37291,1255.03,3342,186,22.98,75.11,617199,871,711420940,60.91,0.041652892,14.405199,75.11,26.87122086,High Risk
2022,SustainFin Services,26817,1548.18,2675,1651,52.4,49.99,1716716,746,167130725,50.16,0.038170436,33.156716,49.99,24.95928297,High Risk
2025,SustainFin Services,16432,952.6,515,1572,25.55,74.87,1553754,1313,234531071,68.05,0.102068475,16.883754,74.87,27.56695359,High Risk
2023,NextGen Lending,23951,805.42,676,215,33.47,59.96,4248567,86,827941193,88.87,0.095294785,24.330567,59.96,25.32528801,High Risk
2024,Indifi Finance,13130,1663.95,750,1169,47.51,70.6,914777,1898,19751178,32.17,0.066324028,29.420777,70.6,30.03276271,High Risk
2024,UrbanGrowth NBFC,49467,1744.09,2672,638,53.57,69.14,1764468,640,649330928,40.72,0.034768606,33.906468,69.14,30.92784784,High Risk
2025,EcoLend Capital,28136,361.83,4682,874,21.28,89.22,4209060,1377,445128567,53.97,0.118022921,16.97706,89.22,31.90632717,High Risk
2024,FutureTrust Finance,7559,1131.05,1164,224,17.76,43.18,2638193,1111,122413294,78.68,0.065107343,13.294193,43.18,16.96830084,High Risk
2022,FutureTrust Finance,19744,1398.92,2386,1000,46.6,53.9,2650194,1922,220222674,91.28,0.04268628,30.610194,53.9,25.37013271,High Risk
2023,NextGen Lending,36155,258.84,4427,1289,49.51,69.49,2985340,1767,23861904,43.41,0.162141979,32.69134,69.49,30.71925879,High Risk
2024,GreenCredit NBFC,47298,1866.23,4712,947,39.08,77.84,4536392,312,791184047,51.28,0.028434585,27.984392,77.84,31.75869143,High Risk
2023,Indifi Finance,26021,1088.21,756,1454,21.83,84.69,2648598,821,509446468,69.89,0.077593066,15.746598,84.69,30.16201663,High Risk
2022,EcoLend Capital,21996,1326.37,3675,1578,21.29,44.92,3094888,1183,554767888,64.08,0.039684647,15.868888,44.92,18.25254026,High Risk
2024,UrbanGrowth NBFC,18187,438.66,1530,417,33.42,53.97,2719150,172,730638068,61.43,0.112444169,22.77115,53.97,23.06732267,High Risk
2025,SustainFin Services,40902,602.43,4110,1943,22.76,45.67,2273736,1595,463000094,50.88,0.074430486,15.929736,45.67,18.50969299,High Risk
2023,Indifi Finance,23006,329.9,1643,287,28.87,43.66,3364960,1794,328727972,66.15,0.140812153,20.68696,43.66,19.36041286,High Risk
2022,Indifi Finance,21375,601.6,4473,388,46.77,40.95,2438639,1664,38312458,73.55,0.074599779,30.500639,40.95,21.46503161,High Risk
2023,EcoLend Capital,35158,1035.55,2578,1312,19.23,80.2,2083569,323,90384969,91.8,0.051117035,13.621569,80.2,28.16691751,High Risk
2024,NextGen Lending,8069,1683.9,3775,195,27.15,47.82,1122739,751,77826044,34.14,0.035419332,17.412739,47.82,19.58398943,High Risk
2024,UrbanGrowth NBFC,11486,1114.07,2935,1437,30.86,59.39,4927979,968,320539105,53.54,0.048737727,23.443979,59.39,24.86968879,High Risk
2025,Bharat MicroFinance,22639,564.48,3812,115,24.1,40.6,4409993,239,737765015,60.79,0.080056709,18.869993,40.6,17.87302058,High Risk
2022,Bharat MicroFinance,40428,184.78,3569,523,43.34,81.49,4679234,960,484773172,66.49,0.22562142,30.683234,81.49,33.74221877,High Risk
2022,NextGen Lending,33800,1281.74,3881,234,33.75,45.4,1610218,488,586725388,72.43,0.039825118,21.860218,45.4,20.19399545,High Risk
2025,NextGen Lending,30618,898.3,3458,1317,52.86,62.22,315188,1960,198522209,34.5,0.054183905,32.031188,62.22,28.29702996,High Risk
2025,GreenCredit NBFC,42220,1970.27,1150,1137,28.59,58.01,2732573,1229,269624974,72.34,0.047099306,19.886573,58.01,23.38781162,High Risk
2022,NextGen Lending,16869,1581.54,3135,1801,52.02,52.69,2002991,771,297824866,71.34,0.036639592,33.214991,52.69,25.78615314,High Risk
2023,UrbanGrowth NBFC,9176,1635.89,4113,1569,37.73,63.07,505762,1662,539967393,54.57,0.035014866,23.143762,63.07,25.87813455,High Risk
2023,GreenCredit NBFC,41454,123.25,2698,716,36.55,41.97,4258231,939,190408506,83.18,0.336386652,26.188231,41.97,20.58202396,High Risk
2025,Bharat MicroFinance,31480,1577.81,1959,552,24.39,58.22,4574596,213,456398378,35.38,0.041618517,19.208596,58.22,23.24522621,High Risk
2023,GreenCredit NBFC,36500,469.77,4915,1382,52.91,66.91,3777347,843,379292438,74.93,0.092073733,35.523347,66.91,30.76683359,High Risk
2022,SustainFin Services,10237,1213.01,2361,1516,27.73,70.38,2735968,62,312500270,50.23,0.048612847,19.373968,70.38,26.94563554,High Risk
2024,SustainFin Services,31453,950.1,2887,1061,36.86,67.4,4367771,183,879798880,76.52,0.053446045,26.483771,67.4,28.18650972,High Risk
2024,Bharat MicroFinance,5790,1186.05,2898,679,52.58,62.71,1930487,554,716632925,41.5,0.049258705,33.478487,62.71,28.87624958,High Risk
2023,EcoLend Capital,46184,353.54,3807,1614,49.03,69.22,1737783,102,649529537,73.59,0.121671166,31.155783,69.22,30.16140337,High Risk
2025,Bharat MicroFinance,19754,968.09,1121,1963,27.35,44.46,3303185,1674,741651018,69.5,0.069598972,19.713185,44.46,19.27979509,High Risk
2025,UrbanGrowth NBFC,18067,170.19,4842,928,47.21,55.48,1998558,1102,268013654,32.92,0.242887708,30.324558,55.48,25.83852248,High Risk
2025,NextGen Lending,21609,177.9,4271,121,42.23,88.34,3307225,1813,292348846,50.19,0.233257845,28.645225,88.34,35.18887064,High Risk
2025,GreenCredit NBFC,32981,1349.7,3916,806,16.33,87.84,4721690,857,735187409,71.73,0.038206709,14.51969,87.84,30.72318968,High Risk
2025,EcoLend Capital,24563,1908.23,2134,272,34.71,71.49,3257673,926,433269247,57.85,0.03624129,24.083673,71.49,28.68659842,High Risk
2023,GreenCredit NBFC,14003,1577.05,817,1299,31.9,64.97,4740996,1551,323654618,89.39,0.064225916,23.880996,64.97,26.68098917,High Risk
2024,Indifi Finance,32068,991.4,3029,1855,41.36,51.51,2928682,709,263107736,35.48,0.051186755,27.744682,51.51,23.7968793,High Risk
2024,FutureTrust Finance,9223,206.15,2668,629,43.11,58.01,3555450,1901,761802192,47.77,0.208530586,29.42145,58.01,26.31284723,High Risk
2023,FutureTrust Finance,28904,185.54,2009,1628,43.18,72.34,3252634,1430,826609326,87.43,0.231557656,29.160634,72.34,30.54281326,High Risk
2025,GreenCredit NBFC,41834,400,1171,1442,33.4,80.62,1795659,1473,668745157,35.64,0.126336249,21.835659,80.62,30.7872322,High Risk
2023,EcoLend Capital,25746,1954.04,2186,1614,52.89,81.36,781366,1739,822062494,75.75,0.035359336,32.515366,81.36,34.17675353,High Risk
2024,Bharat MicroFinance,36404,857.46,1839,618,17.84,46.92,4796852,1256,580205595,55.05,0.063786705,15.500852,46.92,18.75177028,High Risk
2022,SustainFin Services,26407,1702.47,373,679,40.95,65.26,4144131,1799,562738175,34.6,0.105060291,28.714131,65.26,28.23426342,High Risk
2023,UrbanGrowth NBFC,25693,1439.77,779,1048,32.56,75.71,2740023,1797,491302712,64.86,0.06746076,22.276023,75.71,29.4227912,High Risk
2025,GreenCredit NBFC,38014,1250.31,3773,1618,24.3,74.81,873679,1544,563625045,93.22,0.040732481,15.453679,74.81,27.09539669,High Risk
2024,GreenCredit NBFC,27121,1900.87,673,1350,20.47,88.68,2124624,184,196332376,79.66,0.066725673,14.406624,88.68,30.95267747,High Risk
2024,UrbanGrowth NBFC,31403,537.78,4101,1498,33.5,46.36,3225154,1905,101140910,64.68,0.08265047,23.325154,46.36,20.93860639,High Risk
2024,Bharat MicroFinance,16637,964.29,2526,418,27.21,63.08,3069604,1967,865300411,62.84,0.055160991,19.395604,63.08,24.7647456,High Risk
2024,NextGen Lending,13612,1742.97,415,178,23.77,43.9,1653915,836,54028571,84.32,0.097442428,15.915915,43.9,17.98375147,High Risk
2025,SustainFin Services,35410,1148.35,4805,1484,16.45,68.53,4126309,1291,340168724,75.4,0.041923301,13.996309,68.53,24.77466202,High Risk
2022,GreenCredit NBFC,10160,568.25,4890,1587,27.51,74.19,3252119,1439,897925168,45.11,0.079479278,19.758119,74.19,28.21622741,High Risk
2024,Indifi Finance,39139,496.94,3322,881,52.28,43.74,483819,1363,631156955,68.59,0.090289818,31.851819,43.74,22.71366163,High Risk
2023,SustainFin Services,12728,1530.47,968,1764,36.54,66.66,3214574,1006,29492335,63.02,0.059484506,25.138574,66.66,27.563366,High Risk
2022,Indifi Finance,9238,124.3,1300,1711,24.66,88.62,569746,1227,816317287,48.8,0.348126471,15.365746,88.62,31.33497439,High Risk
2024,FutureTrust Finance,31764,1836.96,4724,1447,54.03,41.76,3533074,1737,674640956,77.85,0.029070123,35.951074,41.76,23.32495025,High Risk
2022,UrbanGrowth NBFC,23464,134.99,1312,796,41.05,48.91,1919745,1425,605354609,92.2,0.320462654,26.549745,48.91,22.76610856,High Risk
2023,SustainFin Services,36943,1298.88,2277,999,35.28,67.31,2401804,89,609056897,87.07,0.044783055,23.569804,67.31,27.28185442,High Risk
2024,NextGen Lending,35838,1249.02,1959,123,52.34,75.63,4671358,988,389794615,67.55,0.048176144,36.075358,75.63,33.53087786,High Risk
2023,SustainFin Services,10919,1198.98,716,635,46.24,81.21,3224276,62,847499934,78.89,0.078008636,30.968276,81.21,33.68468625,High Risk
2025,EcoLend Capital,42092,1001.25,3672,1487,36.3,54.89,614874,372,464697087,68.69,0.048832722,22.394874,54.89,23.20499529,High Risk
2024,EcoLend Capital,12797,1719.62,4343,178,15.28,56.76,3338217,575,344840597,65.12,0.03251292,12.506217,56.76,20.79287027,High Risk
2024,UrbanGrowth NBFC,27467,1352.73,1939,528,31.56,79.45,432267,1592,681966134,34.94,0.046133945,19.368267,79.45,29.66393368,High Risk
2024,NextGen Lending,28736,1585.54,2528,1556,46.99,61.04,2611429,1642,136044694,65.93,0.038139073,30.805429,61.04,27.56888433,High Risk
2024,SustainFin Services,14021,319.49,474,289,26.4,83.79,4918302,369,421306931,77.16,0.190630324,20.758302,83.79,31.44074273,High Risk
2025,Bharat MicroFinance,8058,194.81,1282,1230,17.18,86,2883551,613,686925115,66.36,0.232452213,13.191551,86,29.85044619,High Risk
2024,FutureTrust Finance,14041,154.2,2428,190,39.33,82.56,2264630,103,68405179,69.73,0.273895821,25.86263,82.56,32.63634733,High Risk
2022,NextGen Lending,43102,379.69,4766,1817,50.98,44.2,2710159,1195,695672388,37.89,0.112339711,33.298159,44.2,23.29438358,High Risk
2024,GreenCredit NBFC,6153,1367.31,878,348,54.55,66.99,1510584,1340,285120026,36.68,0.068298757,34.240584,66.99,30.3964947,High Risk
