Year,Company,Energy_Consumption_kWh,Carbon_Emissions_tCO2,Water_Usage_KL,Waste_Generated_kg,Female_Employees_Percent,Board_Independence_Percent,CSR_Spend_INR,Employee_Count,Loan_Portfolio_Value_INR,ESG_Compliance_Score
2022,NextGen Lending,23802,1029.47,1725,1066,23.59,88.64,4045937,407,815429114,75.34
2022,FutureTrust Finance,23947,399.53,4525,185,24.82,85.42,2965229,1237,750179175,91.87
2024,Indifi Finance,24335,1416.16,4651,287,30.16,86.59,356715,1872,863511448,42.11
2023,GreenCredit NBFC,34907,1659.46,4795,1639,35.83,65.41,1284648,766,886771976,52.23
2025,GreenCredit NBFC,21653,1438.59,4315,136,44.03,57.95,4325612,539,567507682,84.54
2024,SustainFin Services,44387,936.54,4510,277,27.12,78.3,711034,1868,318637614,60.89
2022,UrbanGrowth NBFC,27031,1768.94,943,1645,20.41,67.11,3164519,1831,550635179,57.98
2023,UrbanGrowth NBFC,14119,361.6,2741,1022,15.82,80.66,4667881,1204,176440216,60.45
2024,SustainFin Services,9555,594.64,2365,854,29.88,74.95,3982820,563,402559356,44.79
2023,EcoLend Capital,6042,1030.13,1854,479,46.64,58.19,4594251,1650,235186915,74.62
2024,GreenCredit NBFC,43212,216.54,3707,1347,28.15,43.42,3545728,724,406101771,76.26
2023,EcoLend Capital,9188,281.8,4001,1595,23.69,54.74,998354,1440,791478172,76.06
2022,FutureTrust Finance,18060,855.14,4011,812,51.46,81.53,2379499,750,822378507,39.13
2025,GreenCredit NBFC,15233,1893.38,3669,1653,41.49,63.07,4165073,829,59893242,73.4
2022,FutureTrust Finance,8088,1825.99,462,1784,54.03,81.07,3324895,589,667219199,92.95
2025,Indifi Finance,6646,985.35,4631,1557,37.43,74.89,519336,1005,807108684,61.6
2023,EcoLend Capital,18127,370.1,4817,647,36.64,55.45,4994280,545,320590410,34.76
2024,SustainFin Services,37615,438.4,3933,1948,53.88,62.06,444840,497,196333428,59.19
2022,GreenCredit NBFC,5487,817.34,4001,540,39.43,72.84,2318491,815,647511366,51.01
2025,EcoLend Capital,20453,499.14,1216,1917,35.59,83.86,676050,1764,145018150,62.94
2022,SustainFin Services,39515,257.65,1183,1481,24.55,41.97,4866002,264,432996693,64.6
2025,Indifi Finance,21911,1380.18,1759,1888,30.32,89.61,162327,158,230556342,46.98
2022,GreenCredit NBFC,22551,1204.75,2902,86,37.48,60.37,1911237,1985,737630536,67.6
2025,FutureTrust Finance,21278,653.46,2463,249,37.57,46.5,125217,1267,853867853,55.61
2025,Indifi Finance,25856,1580,4529,1541,33.22,56.56,2500953,1523,500031795,92.31
2023,UrbanGrowth NBFC,16931,1574.3,4697,92,42.58,79.79,1925353,1111,519984924,40.35
2025,SustainFin Services,27188,1032.9,589,1283,21.28,68.71,684164,1528,296632930,55.82
2023,Bharat MicroFinance,5483,283.41,4468,1354,49.7,45.54,3210231,633,482683038,58.08
2025,GreenCredit NBFC,5451,1845.09,4248,803,44.5,59.41,3680198,1114,331420197,32.2
2024,GreenCredit NBFC,9069,1370.45,706,1928,47.96,42.77,1017878,1692,609822242,77.69
2024,NextGen Lending,18386,569.4,4222,535,16.41,43.34,1140358,937,681814385,72.5
2024,NextGen Lending,12207,1259.86,446,707,46.29,51.04,3756770,1911,114812476,74.36
2025,Indifi Finance,42165,869.54,3711,813,44.59,57.56,2485026,1278,625370357,48.12
2023,GreenCredit NBFC,43439,1307.16,3907,351,15.81,74.66,748591,1903,327012083,94.83
2023,SustainFin Services,23157,1000.35,4980,764,33.03,40.85,4576630,1408,490929462,89.28
2025,Indifi Finance,27006,1022.4,3636,1240,27.19,55.76,4684960,1800,193399182,37.77
2024,FutureTrust Finance,14190,1498.18,3809,383,25.23,57.88,269695,119,775609969,92.31
2024,Indifi Finance,45180,1266.08,3868,1953,21.28,55.48,3594114,1119,697646863,94.23
2023,Indifi Finance,23449,251.91,4857,1327,25.13,47.11,1706683,1817,495654930,61.4
2024,Bharat MicroFinance,46357,224.21,2745,903,45.48,83.04,2444616,1094,300185913,49.44
2022,FutureTrust Finance,34678,679.52,2914,286,51.31,56.06,117134,362,405849295,87.16
2023,UrbanGrowth NBFC,19929,917.47,1642,1495,29.04,82.22,3548211,1556,798177116,82.32
2024,NextGen Lending,44100,622.92,2839,744,26.42,49.5,4851462,852,149477148,66.08
2023,SustainFin Services,12913,1337.77,4357,384,26.73,76.14,2764643,1440,587809116,86.79
2022,UrbanGrowth NBFC,14995,470.71,2118,822,36.37,50.03,3083839,1387,837820957,60.06
2023,UrbanGrowth NBFC,31727,1437.87,1143,162,16.82,57.11,3140207,1229,81177015,65.71
2023,UrbanGrowth NBFC,6946,1568.99,316,438,37.99,73.87,4823234,1280,585464344,79.95
2023,NextGen Lending,41183,336.21,2757,938,51.81,67.4,934467,1535,883547079,34.56
2023,EcoLend Capital,6394,1336.53,1423,739,34.7,53.34,1028677,513,329440401,49.77
2022,NextGen Lending,7421,1926.73,1188,1883,30.94,84.06,3884731,1870,321651591,53.46
2025,UrbanGrowth NBFC,25303,466.37,3022,1476,16.59,63.62,1254189,349,533384698,51.82
2023,EcoLend Capital,45113,1827.68,4479,723,36.91,79.42,4912226,1757,552219679,93.1
2023,FutureTrust Finance,24467,1251.49,3767,358,20.46,83.11,735419,892,634408374,73.18
2024,NextGen Lending,45798,1222.8,1936,1094,33.46,62.5,3886608,984,141438950,35.28
2023,SustainFin Services,29504,198.65,3313,1374,27.36,56.65,3041646,364,111874913,53.65
2024,UrbanGrowth NBFC,15980,1521.77,2186,1041,25.43,67.67,4437688,1994,345627632,40.93
2025,GreenCredit NBFC,6844,1008.72,1523,1645,53.3,44.12,2357542,1079,872204558,90.07
2022,FutureTrust Finance,39572,1470.23,715,1063,46.51,74.19,1418454,1121,318448529,64.54
2022,EcoLend Capital,46849,1637.44,3239,1604,19.78,77.72,4165087,1857,277926515,67.24
2025,NextGen Lending,23887,1095.21,3635,521,27.65,45.31,647440,1255,210320013,39.02
2022,SustainFin Services,23277,600.92,4414,852,43.13,54.81,830339,542,285618105,35.01
2025,Indifi Finance,42112,368.99,3348,1923,47.94,78.35,2189737,1966,827035366,43.22
2025,SustainFin Services,27975,404.96,3086,810,36.06,55.82,2881963,1488,438024914,70.2
2025,SustainFin Services,24449,1747.18,4186,63,51.01,70.71,402807,1171,827258533,89.34
2022,UrbanGrowth NBFC,49601,334.8,2681,1671,29.46,70.05,494229,1579,644430015,44.12
2024,UrbanGrowth NBFC,24459,830.92,2210,664,18.05,52.97,416614,1732,183991470,31.07
2025,NextGen Lending,6259,735.12,1625,271,52.66,78.29,3966780,1677,745191013,46.07
2023,NextGen Lending,23604,1744.37,867,1341,31.55,64.7,2182745,238,252368579,52.24
2022,Bharat MicroFinance,18859,1007.62,302,738,15.92,46.01,4830673,257,747148827,35.23
2025,EcoLend Capital,48798,1993.25,3885,1789,43.77,45.09,993694,1245,85674073,36.25
2025,Bharat MicroFinance,30362,1500.4,248,1551,25.07,85.87,4736591,838,426005780,63.21
2023,NextGen Lending,32943,1716.75,4414,1076,18.64,59.11,354056,1875,335678371,70.38
2024,EcoLend Capital,26319,287.48,1625,1192,48.76,67.7,1314738,519,886817103,82.49
2024,UrbanGrowth NBFC,40215,580.89,667,153,24.7,72.04,2197652,1513,484956033,39.8
2024,UrbanGrowth NBFC,40897,357.35,246,1425,36.73,76.2,1395581,1117,863385744,86.46
2025,GreenCredit NBFC,12697,980.88,4296,1740,39.49,60.66,3702103,711,218788378,91.87
2025,GreenCredit NBFC,28075,1464.75,4456,781,52.8,64.41,493137,757,683772531,70.95
2025,FutureTrust Finance,36360,421.22,4919,1539,30.86,76.53,3219010,792,116940841,34.53
2022,UrbanGrowth NBFC,33160,347.32,4318,1446,35.06,72.9,2347561,1920,111253638,48.99
2023,Indifi Finance,33735,1267.76,4027,714,27.07,70.88,2178648,1456,803571792,89.73
2025,GreenCredit NBFC,36293,537.59,1493,1584,33.66,59.4,4874457,603,742784577,31.16
2023,EcoLend Capital,8949,1010.72,2163,1984,15.28,88.29,4037199,335,693690560,70.97
2023,SustainFin Services,15659,197.12,1516,932,49.35,49.23,3178707,518,736636390,57.55
2024,NextGen Lending,13010,1393.16,698,1566,17.64,45.83,1899173,1439,127602859,61.62
2022,NextGen Lending,31769,1128.5,1900,801,24.84,54.3,683745,1728,796370193,83.59
2025,FutureTrust Finance,28823,1330.1,686,1100,43.76,52.58,1388956,670,277013326,43.39
2024,GreenCredit NBFC,21400,623.27,4674,1856,40.66,88.04,2254467,308,379781887,32.05
2024,SustainFin Services,45727,629.35,974,207,45.07,40.42,935598,1866,132230242,88.31
2025,SustainFin Services,44009,1622.59,1088,1788,35.21,84,4338360,1815,282872526,54.41
2023,GreenCredit NBFC,19787,1465.27,4987,748,52.14,60.32,3135961,711,482059561,81.8
2024,Indifi Finance,12906,1201.48,3928,1254,52.8,68.37,1289582,205,252802890,59.48
2023,Indifi Finance,18303,1293.47,3973,639,45.32,74.68,938407,54,312688464,81.59
2022,FutureTrust Finance,6266,278.68,4309,350,27.87,42.25,3967771,979,835788225,74.2
2023,Bharat MicroFinance,38246,1726.73,2491,1933,16.65,65.88,3628171,1120,870185434,68.72
2022,Indifi Finance,8977,1562.82,3706,1273,36.97,41.98,2368559,1277,702837513,53.15
2023,FutureTrust Finance,11068,1221.93,2461,494,15.36,44.92,1379586,874,132298363,48.94
2024,Bharat MicroFinance,49504,1845.33,2296,316,47.38,71.37,2540150,1075,60290658,36.17
2024,Bharat MicroFinance,36227,420.41,1304,127,38.52,53.74,1758114,517,207445255,72
2022,EcoLend Capital,17740,1404.65,1077,1764,39.76,47.11,4786008,973,519049670,81.7
2025,Bharat MicroFinance,27797,1929.67,380,672,17.42,42.48,426847,1385,132679300,57.99
2022,GreenCredit NBFC,12791,689.02,4967,1799,38.43,80.2,1062363,266,758155913,34.15
2022,Bharat MicroFinance,5485,129.06,1069,1275,22.19,71.66,2587211,1579,172497113,76.09
2023,SustainFin Services,35695,1496.25,3648,277,31.1,41.61,4911144,1254,431690648,66.77
2023,FutureTrust Finance,42441,113.26,416,1496,27.77,71.68,676290,619,450778375,64.37
2022,NextGen Lending,5337,1757.81,3010,1097,24.85,45.16,2970121,1773,431746414,92.69
2024,Indifi Finance,30436,206.97,824,1719,32.88,56.37,2590735,420,602090166,70.15
2023,NextGen Lending,20092,1340.25,4755,594,45.48,73,988599,90,329774621,89.61
2025,FutureTrust Finance,39771,816.65,831,455,24.33,54.24,4386913,1336,659018488,93.99
2023,UrbanGrowth NBFC,6471,486.35,330,1901,35.42,77.91,3541170,1645,547903133,30.22
2023,FutureTrust Finance,49388,1806.69,3488,1477,29.27,65.93,3955626,924,37777033,40.69
2025,Indifi Finance,32696,1517.87,729,1084,41.17,52.46,3990007,1436,246930412,66.14
2022,UrbanGrowth NBFC,11489,746.84,2033,1188,37.68,67.83,239535,492,73051377,88.19
2025,UrbanGrowth NBFC,12856,639.89,4527,852,41,41.71,2862271,1575,615385259,52.78
2022,Bharat MicroFinance,33611,1498.42,1347,1138,54.29,61.95,4735828,1507,232388362,91.7
2022,Indifi Finance,14365,1689.48,761,1435,35.28,56.28,4939474,1823,326908077,58.6
2022,UrbanGrowth NBFC,39373,1460.12,4472,1931,19.11,60.93,3288071,1418,352373420,84.48
2025,GreenCredit NBFC,10664,1315.98,3786,1279,16.79,70.56,576857,1190,72211366,50.76
2022,SustainFin Services,28323,533.06,1295,1506,17.02,61.19,1927142,1489,163459890,86.95
2024,NextGen Lending,31455,1720.33,2372,1139,29.09,67.72,3067163,897,275968318,44.93
2025,GreenCredit NBFC,10379,1524.36,2630,479,43.98,45.57,1330087,1843,299463958,52.45
2024,GreenCredit NBFC,49353,1082.82,283,694,48.6,55.49,2741283,127,507029636,83.7
2022,Indifi Finance,7124,1072.02,3187,728,38.76,61.13,1523188,308,200061431,93.66
2023,Bharat MicroFinance,36536,1181.43,4960,128,34.2,42.68,1450860,1286,696628511,88.48
2022,Indifi Finance,9991,1673.73,1105,1030,48.87,87.42,1377920,924,338541567,62.24
2024,NextGen Lending,11794,1510.29,3432,782,17.27,85.3,2923601,832,874368046,52.41
2024,SustainFin Services,34218,1726.87,3344,1508,27.94,56.66,3179508,1857,219948381,46.31
2025,FutureTrust Finance,36113,1063.84,1320,454,17.29,71.37,499518,1201,866871001,60.93
2023,GreenCredit NBFC,41074,1286.83,1809,1239,52.24,63.68,2935051,1701,219643493,75.96
2025,UrbanGrowth NBFC,32977,1723.69,738,549,18.57,68.13,2431002,787,755997576,81.22
2024,SustainFin Services,33359,541.41,601,1493,53.38,46.08,4520153,715,855619254,93.47
2022,GreenCredit NBFC,23043,943.64,4558,1855,44.23,67.13,3898984,592,432309259,38.39
2023,FutureTrust Finance,27523,1279.24,398,466,34.78,52.68,3228865,1415,855770619,72.11
2022,Bharat MicroFinance,14070,1838.78,1731,584,27.5,70.55,3079858,226,556707262,45.95
2022,UrbanGrowth NBFC,12199,130.09,4322,121,36.48,78.38,3247905,1358,313303302,69.83
2023,GreenCredit NBFC,23703,503.89,3851,1285,40.71,85.1,2981846,954,25977500,39.6
2025,EcoLend Capital,24267,545.46,1171,215,34.25,41.68,1299651,1805,795526442,38.73
2022,NextGen Lending,19133,720.56,3063,1888,51.7,66.18,4486256,1504,55985671,88.53
2024,SustainFin Services,33571,635.39,2570,1649,20.57,60.41,1504092,1474,62874205,34.64
2022,NextGen Lending,31991,1221.26,4640,1815,20.14,51.24,4593323,465,850436054,41.12
2023,Indifi Finance,16579,1782.68,4207,480,46.18,53.2,2575367,1463,104532287,90.61
2023,GreenCredit NBFC,38355,1310.26,1833,818,37.43,81.17,1926235,936,617921394,31.39
2023,UrbanGrowth NBFC,24003,558.9,959,859,31.24,76.88,3793488,732,283806364,53.73
2025,UrbanGrowth NBFC,26871,1741.13,1571,373,47.82,85.16,1900966,225,672861487,41.57
2022,SustainFin Services,11223,1300.89,2258,1287,52.56,79.24,3206918,1373,253570854,70.05
2025,SustainFin Services,19197,516.03,634,765,35.99,42.84,3824377,1477,849455664,37.52
2025,NextGen Lending,14387,787.17,3303,1610,37.74,45.58,3008880,1397,407288843,86.45
2023,UrbanGrowth NBFC,42121,1600.93,1039,1701,17.2,73.96,4313273,1412,617120459,74.95
2023,UrbanGrowth NBFC,31902,1503.97,3916,417,34.94,72.93,651085,1113,725904209,47.05
2025,UrbanGrowth NBFC,19839,1195.51,3369,234,15.79,84.61,4114564,264,265447764,31.4
2022,GreenCredit NBFC,40373,375.06,4531,229,31.24,66.34,4007377,1380,665514586,87.5
2024,UrbanGrowth NBFC,40306,1626.25,4938,1976,53.65,68.8,716335,1656,865032018,63.36
2025,Indifi Finance,18896,684.33,2499,952,45.5,66.12,4033178,1385,753367235,85.89
2022,UrbanGrowth NBFC,46525,1566.04,2815,1001,44.38,73.97,4374640,1931,35561526,89.85
2023,Indifi Finance,21198,1330.38,1091,1015,46.39,59.76,3127149,1843,896128561,44.93
2023,GreenCredit NBFC,39524,601.92,4210,132,48.99,70.68,4655008,1756,515767673,67.71
2022,SustainFin Services,33651,503.5,960,800,16.71,64.54,114131,1946,669117459,74.51
2024,Bharat MicroFinance,37636,348.73,1425,1515,50.18,87.3,4824452,90,664533967,50.06
2023,Indifi Finance,39128,559.7,2496,1224,45.98,60.97,1145418,1628,84409329,48.19
2023,GreenCredit NBFC,32144,399.88,375,1837,42.36,46.4,3268366,1631,442132914,79.37
2023,Bharat MicroFinance,23757,1272.4,3376,167,31.23,81.12,1092866,1563,628818296,59.26
2022,Bharat MicroFinance,38963,1237.69,3516,699,27.02,65.21,3468969,280,832071127,89.82
2025,UrbanGrowth NBFC,23515,1213.73,1064,925,22.68,48.03,2345788,54,872854052,43.28
2023,GreenCredit NBFC,45777,1319.59,1886,725,28.66,86.39,744807,1691,839332383,70.8
2025,Bharat MicroFinance,27027,1648.09,3780,1960,50.13,46.1,3861978,1417,368482784,85.01
2024,UrbanGrowth NBFC,18792,1835.75,2301,692,17.26,43.42,1589249,863,406676539,53.67
2023,NextGen Lending,20777,537.71,3652,1145,44.05,53.38,572184,1642,807712936,59.15
2023,GreenCredit NBFC,24794,1216.77,2568,382,18.41,72.74,4075754,248,584257756,87.64
2024,Bharat MicroFinance,37544,248.84,1442,1552,19.67,45.6,1973899,249,577763869,68.53
2023,SustainFin Services,23751,328.27,3066,446,22.99,88.38,2599104,1608,370794130,78.43
2025,Indifi Finance,36023,1343.24,1127,1035,41.95,66.75,2451664,56,225388236,64.56
2022,NextGen Lending,24727,1024.5,3143,1249,49.06,68.69,376995,1847,215227249,39.38
2025,SustainFin Services,28665,1540.83,4699,673,20.67,87.52,3569427,1162,163792998,69.51
2022,EcoLend Capital,36126,908.79,546,1651,24.36,63.39,4348701,754,846013627,52.55
2022,UrbanGrowth NBFC,24481,342.44,688,692,40.39,74.8,3268469,1426,458939932,86.92
2025,Bharat MicroFinance,30836,1756.9,3047,1648,33.25,41.8,4079239,1758,671371945,39.31
2025,Indifi Finance,39101,257.49,2606,1088,40.34,41.84,4368157,1862,872701105,32.81
2025,SustainFin Services,28549,459.03,1280,1715,21.33,77.15,1870139,1550,429051025,80.74
2025,Indifi Finance,8336,626.26,1310,1218,33.38,86.87,4118989,1792,691676807,32.75
2024,EcoLend Capital,13157,1991.03,2625,1559,28.62,76.16,2720845,663,36604668,42.82
2023,FutureTrust Finance,41155,892.03,1130,828,32.47,47.73,4899427,1415,131483812,88.68
2022,UrbanGrowth NBFC,42481,1053.25,1586,1334,26.85,81.38,4491634,209,721334305,68.44
2025,UrbanGrowth NBFC,36567,1562.42,1169,887,20.73,69.59,2858398,471,325312488,44.28
2025,GreenCredit NBFC,42869,1309.19,4603,884,41.67,43.27,4107640,258,714994915,36.24
2025,Bharat MicroFinance,7431,1698.7,2134,1864,41.76,59.33,724017,1301,596332361,88.19
2024,UrbanGrowth NBFC,38784,1024.22,3360,657,25.58,78.72,1608462,1342,72295335,44.31
2025,UrbanGrowth NBFC,22025,1947.14,4986,1648,38.09,50.32,3114879,343,662163106,91.44
2025,SustainFin Services,25446,1613.94,3867,1461,53.47,81.16,3646832,349,345295620,30.23
2025,NextGen Lending,13507,862.59,363,800,36.49,68.73,4915631,547,547719129,66.98
2023,UrbanGrowth NBFC,38208,824.42,850,590,27.56,62.53,2579156,1288,628892614,72.5
2024,UrbanGrowth NBFC,22522,1866.03,3931,194,27.34,40.12,1171329,1526,488930059,31.92
2025,Bharat MicroFinance,30490,1400.39,2559,1040,48.25,52.98,1065118,452,827998182,89.54
2022,EcoLend Capital,43011,1280.72,2294,724,34.54,80.94,2579137,1705,711050732,86.55
2022,NextGen Lending,40071,1539.88,4301,1761,25.53,45.34,1379934,1182,736534265,93.62
2022,EcoLend Capital,35413,1165.58,4148,1414,40.24,65.45,663804,1410,333853479,57.94
2024,Bharat MicroFinance,19040,402.42,1770,1070,49.59,41.55,623893,131,860682942,35.34
2024,Indifi Finance,43718,706.51,3342,1160,44.1,52.98,4110932,1867,383990251,32.02
2022,Indifi Finance,12046,1160.1,3564,353,18.45,48.26,1404137,1530,54061912,58.48
2025,UrbanGrowth NBFC,44374,134.52,1346,1066,28.67,60.85,2520414,493,634489198,83.84
2024,UrbanGrowth NBFC,41189,930.97,2768,1894,47.51,69.77,996904,876,345375279,64.01
2022,GreenCredit NBFC,23462,1536.03,3996,1010,31.73,61.94,130742,159,274334981,82.55
2022,Indifi Finance,43871,412.04,2051,678,54.95,81.04,1524533,652,716195335,54.88
2025,SustainFin Services,25534,222.66,4858,1276,28.68,48.49,2802299,615,321560072,62.5
2023,UrbanGrowth NBFC,39968,1688.46,2574,1330,51.3,70.97,1144170,262,770527104,78.29
2024,SustainFin Services,25935,1272.82,2131,1720,33.38,82.95,3037241,907,483786423,56.91
2025,UrbanGrowth NBFC,45995,435.5,4338,1306,52.44,70.02,2698446,1930,756713382,87.35
2022,Bharat MicroFinance,14009,1631.98,1789,638,31.85,62.49,2436560,1215,408224288,84.13
2022,SustainFin Services,6946,1350.45,3143,423,33.74,76.83,4664779,187,823991382,40.4
2025,FutureTrust Finance,41724,734.83,3296,1669,36.63,44.6,1978946,1840,775301220,70.8
2024,SustainFin Services,45483,814.77,1107,1783,16.59,88.27,4276474,758,631027901,61.25
2023,NextGen Lending,8325,396.19,4872,1871,18.36,56.92,4032787,1732,45707621,61.53
2023,Indifi Finance,13699,1686.99,459,1954,49.18,50.02,325061,194,416460557,40.42
2022,UrbanGrowth NBFC,8745,1067.11,1332,1957,25.61,87.95,4696223,951,177370208,57.16
2024,Indifi Finance,49837,1158.34,4823,1655,40.09,40.25,1646631,1340,358090930,62.92
2023,NextGen Lending,35794,1778.63,2962,1171,25.4,79.39,2110619,1038,538000133,71.07
2024,NextGen Lending,29544,130.08,1877,660,29.08,60.97,1873111,1375,277953422,80.8
2024,SustainFin Services,26198,227.15,1069,133,39.17,80.54,2247065,488,797722347,60.07
2022,EcoLend Capital,18489,407,2231,215,28.55,82.96,4024209,164,699004143,61.26
2023,EcoLend Capital,27474,157.07,4881,207,44.03,55.75,2699973,1617,681324958,36.75
2025,NextGen Lending,23420,1350.5,1788,548,35.66,84.46,4711601,1066,28769702,78.26
2022,EcoLend Capital,7677,1304.37,774,1170,45.27,89.5,4271200,1875,893514799,48.55
2023,UrbanGrowth NBFC,39512,500.52,340,359,23.56,87.45,535515,517,115286371,32.33
2023,GreenCredit NBFC,16175,383.87,4294,1929,40.8,66.42,1336316,562,73437572,74.89
2023,FutureTrust Finance,48318,376.8,3572,1985,27.53,50.01,669058,1539,505072677,93.58
2023,SustainFin Services,47191,1911.16,1406,1689,29.13,80.38,305200,161,511181980,43.72
2023,GreenCredit NBFC,6177,1417.66,1285,1345,22.46,87.08,1941733,1287,289863175,82.12
2024,EcoLend Capital,5761,1212.31,596,332,20.14,88.08,2316056,1647,16553639,91.39
2022,SustainFin Services,42546,712.73,2064,661,50.25,83.62,3422439,252,353953054,47.61
2024,GreenCredit NBFC,11458,922.78,2263,1863,52.85,50.74,2012547,512,442192366,77.68
2025,Indifi Finance,25110,269.87,637,1472,30.74,72.28,4214196,1192,195824626,30.26
2023,EcoLend Capital,47503,1996.49,3631,1119,45.54,86.13,4018750,284,628101149,31.44
2022,Bharat MicroFinance,33253,1534.66,851,434,47.14,64.36,3227643,1056,271188320,49.26
2023,GreenCredit NBFC,23317,1280.76,2377,551,20.67,80.83,2434508,1410,623151391,41
2022,Bharat MicroFinance,33433,1216.76,3176,1997,52.56,45.23,913480,968,653297599,78.73
2024,UrbanGrowth NBFC,12179,1058.2,854,1746,47.33,78.59,3255368,767,57672032,52.38
2022,Indifi Finance,19849,589.11,1048,1685,46.58,43.24,4948393,1929,109631398,43.2
2025,EcoLend Capital,9444,530.14,1386,1472,51.98,67.59,4104215,1603,557583665,38.36
2025,FutureTrust Finance,7964,1144.11,677,362,29.12,61.41,1757135,372,781869993,55.06
2022,NextGen Lending,46990,233.38,1261,375,50.47,49.17,1172683,1902,697377974,67.95
2022,EcoLend Capital,17811,241.49,1175,1781,54.92,61.85,937594,1643,154287198,60.37
2022,Bharat MicroFinance,15067,1165.55,4148,1003,24.25,75.99,1239057,376,186331378,73.68
2022,UrbanGrowth NBFC,44992,1847.64,3096,1861,19.86,78.07,4322510,1091,290423694,72.06
2025,FutureTrust Finance,15472,1837.12,718,565,19.35,86.09,1378452,637,467864450,37.08
2023,FutureTrust Finance,20126,120.57,3839,1083,30.1,74.87,742629,267,653599978,41.47
2022,FutureTrust Finance,8101,304.05,3148,824,47.35,89.82,4817167,422,672933745,48.26
2022,SustainFin Services,31990,1207.85,4002,1036,45.03,54.31,3897150,233,384199179,48.81
2025,SustainFin Services,41665,1712.1,264,362,22.89,47.73,3291711,348,429784978,51.27
2025,Bharat MicroFinance,8678,1913.45,3465,951,36.39,44.87,1335122,1122,229018731,92.55
2024,NextGen Lending,39611,1735.11,4232,1384,29.46,69.23,2589978,1441,288319282,71.52
2022,FutureTrust Finance,35729,1387.46,3876,1744,48.27,57.32,2507682,1904,395891411,84.81
2024,NextGen Lending,34035,481,1052,1393,47.17,50.16,578730,1971,378315750,64.63
2025,Indifi Finance,20958,237.98,4465,469,47.41,50.65,3335459,521,601881122,89.48
2025,FutureTrust Finance,29250,190.28,1161,140,36.01,57.35,903817,1849,835472697,42.34
2023,GreenCredit NBFC,12083,1262.95,3552,1086,47.3,74.31,4311892,1317,436337864,54.08
2022,FutureTrust Finance,26756,168.76,205,1148,44.33,70.07,4957982,1347,647664369,41.06
2024,Bharat MicroFinance,6466,1504.56,4559,1446,35.99,79.63,4838268,453,459337154,68.87
2025,SustainFin Services,5339,1453.69,4348,1402,45.91,55.9,3275427,1002,895046132,33.64
2025,SustainFin Services,49547,251.26,2266,1774,30.07,75.71,4437647,965,518294275,59.04
2024,GreenCredit NBFC,26103,1822.58,2512,1083,46.19,83.5,1950479,1178,446002124,49.81
2023,GreenCredit NBFC,22088,1091.67,3053,499,39.93,81.92,1074018,56,368052617,86.02
2025,EcoLend Capital,8724,1818.43,3614,713,49.48,72.95,1213527,1216,751481673,47.89
2022,Indifi Finance,45957,1813.06,3687,404,50.69,82.47,4177456,1880,387658781,82.3
2025,Indifi Finance,26643,474.36,2632,979,30.55,44.41,3732617,1831,492618812,36.44
2022,Bharat MicroFinance,31044,823.1,3278,483,26.51,63.86,108684,1387,560648518,73.6
2024,Bharat MicroFinance,15334,355.79,3127,1404,26.2,54.03,1356272,1475,386850969,43.1
2022,Bharat MicroFinance,38320,1572.46,4038,1701,28.04,64.46,3466313,1034,340381013,89.68
2024,Bharat MicroFinance,41259,1057.84,1479,690,17.03,46.33,2623497,725,624449580,60.89
2022,Bharat MicroFinance,5789,1864.73,4545,1590,52.25,45.53,2996900,411,413187753,44.15
2024,Bharat MicroFinance,38941,495.61,3161,460,19.96,45.51,3496345,563,543465649,39.56
2022,Indifi Finance,5552,1407.9,817,56,50.12,44.59,1608286,1930,774702304,54.94
2023,UrbanGrowth NBFC,24806,1979.55,2559,1315,34.5,64.38,1122568,1782,580298856,58.86
2022,SustainFin Services,41979,1364.22,4131,1174,51.01,45.97,458041,1047,467394373,90.29
2022,Indifi Finance,13823,230.67,2279,549,52.3,81.96,1425463,165,870861194,71.52
2023,Bharat MicroFinance,36980,1218.01,3860,279,47.85,54.34,4819059,1652,803186857,93.92
2025,EcoLend Capital,5860,441.7,3085,1842,31.28,87.9,725267,1293,829295894,40.78
2025,EcoLend Capital,5290,157.96,292,337,31.5,68.36,4830836,698,421829048,69.72
2022,Indifi Finance,47417,736.43,3793,706,53.66,71.67,2831874,1261,313280372,62.86
2023,GreenCredit NBFC,19344,605.6,1090,323,28.47,71.13,356419,1837,222805432,84.24
2022,EcoLend Capital,10870,1598.66,2159,629,31.45,56.67,2997353,1715,513623464,37.09
2024,NextGen Lending,38397,809.99,4113,1634,26.63,83.48,2172558,647,611072378,64.54
2024,GreenCredit NBFC,44775,1492.62,4329,1854,35.55,89.63,2717753,756,796662682,39.42
2022,NextGen Lending,21186,130.85,3560,1142,39.42,48.08,2215263,848,410232664,38.89
2025,SustainFin Services,43711,128.14,3218,1991,41.52,64.61,1075114,1181,436691943,92.2
2025,UrbanGrowth NBFC,37265,155.7,1567,971,21.34,65.17,2474963,906,376631569,42.27
2022,EcoLend Capital,26016,516.78,4904,1397,28.86,79.12,373409,467,533304350,45.47
2022,GreenCredit NBFC,9080,810.58,4803,1160,54.84,61.52,2663935,692,479221590,77.11
2024,Bharat MicroFinance,17972,1254.91,4327,1718,17.86,73.87,3989240,282,70765085,40.22
2025,NextGen Lending,6760,1973.24,4932,954,29.89,57.93,1012285,1612,151580153,88.19
2022,Indifi Finance,16274,773.38,4915,1150,23.47,43.1,1546608,1174,588646227,38.32
